discourse_markers,discourse_type,discourse_subtype
topic-question:1->2:1:lex-indwd-1+syn-sbinv-2+grf-qst-6,topic,question:1->2:1:lex-indwd-1+syn-sbinv-2+grf-qst-6
ROOT:2:0,ROOT:2:0,
elaboration-additional:3->2:0:_,elaboration,additional:3->2:0:_
"causal-result:4->3:0:dm-and-19+dm-so-20
",causal,"result:4->3:0:dm-and-19+dm-so-20
"
evaluation-comment:5->3:1:_,evaluation,comment:5->3:1:_
context-background:6->7:0:lex-indwd-36,context,background:6->7:0:lex-indwd-36
"topic-question:7->8:0:lex-indwd-40+grf-qst-45
",topic,"question:7->8:0:lex-indwd-40+grf-qst-45
"
joint-other_m:8->2:2:_,joint,other_m:8->2:2:_
"joint-other_m:9->2:3:_
",joint,"other_m:9->2:3:_
"
"restatement-repetition_m:10->9:0:sem-lxchn-51,58+sem-rpt-52-53,59-60+ref-prs-52,59
",restatement,"repetition_m:10->9:0:sem-lxchn-51,58+sem-rpt-52-53,59-60+ref-prs-52,59
"
evaluation-comment:11->13:1:lex-indwd-68,evaluation,comment:11->13:1:lex-indwd-68
attribution-positive:12->13:0:sem-atsrc-65+lex-indwd-69,attribution,positive:12->13:0:sem-atsrc-65+lex-indwd-69
adversative-antithesis:13->14:1:_,adversative,antithesis:13->14:1:_
joint-other_m:14->2:3:_,joint,other_m:14->2:3:_
"joint-sequence_m:15->14:0:dm-and-80
",joint,"sequence_m:15->14:0:dm-and-80
"
evaluation-comment:16->14:2:_,evaluation,comment:16->14:2:_
"elaboration-additional:17->16:0:ref-prs-84,91",elaboration,"additional:17->16:0:ref-prs-84,91"
adversative-contrast_m:18->16:1:_,adversative,contrast_m:18->16:1:_
"explanation-justify:19->18:0:dm-because-95
",explanation,"justify:19->18:0:dm-because-95
"
adversative-contrast_m:20->14:3:_,adversative,contrast_m:20->14:3:_
elaboration-attribute:21->20:0:syn-mdf-100+syn-relcl-102,elaboration,attribute:21->20:0:syn-mdf-100+syn-relcl-102
"same-unit_m:22->20:1:_
",same,"unit_m:22->20:1:_
"
attribution-positive:23->24:0:sem-atsrc-107+lex-indwd-108,attribution,positive:23->24:0:sem-atsrc-107+lex-indwd-108
adversative-antithesis:24->32:3:dm-but-157,adversative,antithesis:24->32:3:dm-but-157
explanation-evidence:25->32:1:_,explanation,evidence:25->32:1:_
"contingency-condition:26->28:0:dm-if-124+mrf-md-139+dm-then-144
",contingency,"condition:26->28:0:dm-if-124+mrf-md-139+dm-then-144
"
"joint-list_m:27->26:0:dm-and-131
",joint,"list_m:27->26:0:dm-and-131
"
joint-list_m:28->25:0:_,joint,list_m:28->25:0:_
"causal-cause:29->28:1:dm-cause-143
",causal,"cause:29->28:1:dm-cause-143
"
"attribution-positive:30->31:0:sem-atsrc-132,151+lex-indwd-152
",attribution,"positive:30->31:0:sem-atsrc-132,151+lex-indwd-152
"
causal-cause:31->29:0:dm-cause-150,causal,cause:31->29:0:dm-cause-150
"elaboration-additional:32->14:4:ref-prs-75,158+sem-rpt-78-79,162-163
",elaboration,"additional:32->14:4:ref-prs-75,158+sem-rpt-78-79,162-163
"
"causal-result:33->32:0:dm-and-165
",causal,"result:33->32:0:dm-and-165
"
explanation-evidence:34->32:2:_,explanation,evidence:34->32:2:_
attribution-positive:35->34:0:sem-atsrc-179+lex-indwd-180,attribution,positive:35->34:0:sem-atsrc-179+lex-indwd-180
adversative-concession:36->38:2:dm-but-186,adversative,concession:36->38:2:dm-but-186
"organization-phatic:37->38:0:_;joint-sequence:37->36:0:0:orp-then-187
",organization,"phatic:37->38:0:_;joint-sequence:37->36:0:0:orp-then-187
"
"context-background:38->41:3:ref-prs-190,210",context,"background:38->41:3:ref-prs-190,210"
"joint-list_m:39->38:1:sem-lxchn-193,206+dm-and-199
",joint,"list_m:39->38:1:sem-lxchn-193,206+dm-and-199
"
"attribution-positive:40->41:0:sem-atsrc-210+lex-indwd-211+lex-indwd-212;joint-list:40->36:0:1:orp-and-209
",attribution,"positive:40->41:0:sem-atsrc-210+lex-indwd-211+lex-indwd-212;joint-list:40->36:0:1:orp-and-209
"
"elaboration-additional:41->34:1:ref-prs-172,200+ref-prs-179,210
",elaboration,"additional:41->34:1:ref-prs-172,200+ref-prs-179,210
"
"adversative-contrast_m:42->41:1:sem-ngt-215,224-225+dm-but-220
",adversative,"contrast_m:42->41:1:sem-ngt-215,224-225+dm-but-220
"
"causal-result:43->42:0:dm-and-228+dm-so-229
",causal,"result:43->42:0:dm-and-228+dm-so-229
"
"attribution-positive:44->45:2:sem-atsrc-235+lex-indwd-236+lex-indwd-237+syn-rpr-239-240,242,245,251",attribution,"positive:44->45:2:sem-atsrc-235+lex-indwd-236+lex-indwd-237+syn-rpr-239-240,242,245,251"
joint-sequence_m:45->41:2:dm-and-233,joint,sequence_m:45->41:2:dm-and-233
"context-circumstance:46->45:0:dm-when-243
",context,"circumstance:46->45:0:dm-when-243
"
"joint-sequence_m:47->45:1:dm-and-248+dm-then-249
",joint,"sequence_m:47->45:1:dm-and-248+dm-then-249
"
"attribution-positive:48->49:1:sem-atsrc-255+lex-indwd-256
",attribution,"positive:48->49:1:sem-atsrc-255+lex-indwd-256
"
"joint-sequence_m:49->41:2:dm-and-254
",joint,"sequence_m:49->41:2:dm-and-254
"
joint-other_m:50->49:0:_,joint,other_m:50->49:0:_
"evaluation-comment:51->49:2:lex-indwd-273
",evaluation,"comment:51->49:2:lex-indwd-273
"
"explanation-justify:52->51:0:dm-cause-275
",explanation,"justify:52->51:0:dm-cause-275
"
"joint-other_m:53->34:2:_
",joint,"other_m:53->34:2:_
"
explanation-motivation:54->53:0:mrf-md-285,explanation,motivation:54->53:0:mrf-md-285
joint-other_m:55->54:0:_,joint,other_m:55->54:0:_
organization-phatic:56->55:0:lex-indwd-303,organization,phatic:56->55:0:lex-indwd-303
"restatement-repetition_m:57->55:1:ref-prs-299,305+sem-lxchn-300,307+ref-prs-301,308",restatement,"repetition_m:57->55:1:ref-prs-299,305+sem-lxchn-300,307+ref-prs-301,308"
organization-phatic:58->57:0:_,organization,phatic:58->57:0:_
joint-other_m:59->54:0:_,joint,other_m:59->54:0:_
evaluation-comment:60->53:1:lex-indwd-320,evaluation,comment:60->53:1:lex-indwd-320
"purpose-goal:61->60:0:syn-inf-326
",purpose,"goal:61->60:0:syn-inf-326
"
adversative-concession:62->63:0:_,adversative,concession:62->63:0:_
"adversative-contrast_m:63->60:1:dm-but-333
",adversative,"contrast_m:63->60:1:dm-but-333
"
adversative-antithesis:64->63:1:_,adversative,antithesis:64->63:1:_
attribution-positive:65->66:0:sem-atsrc-344+lex-indwd-345,attribution,positive:65->66:0:sem-atsrc-344+lex-indwd-345
"evaluation-comment:66->64:0:_
",evaluation,"comment:66->64:0:_
"
"restatement-partial:67->53:2:sem-rpt-287-289,352-354+sem-rpt-287-288,352-353",restatement,"partial:67->53:2:sem-rpt-287-289,352-354+sem-rpt-287-288,352-353"
attribution-positive:68->69:0:sem-atsrc-356+lex-indwd-357,attribution,positive:68->69:0:sem-atsrc-356+lex-indwd-357
"context-background:69->67:0:sem-rpt-352-353,358",context,"background:69->67:0:sem-rpt-352-353,358"
"adversative-contrast_m:70->69:1:dm-but-365
",adversative,"contrast_m:70->69:1:dm-but-365
"
"context-background:71->69:2:ref-prs-356,379+ref-prs-358,382",context,"background:71->69:2:ref-prs-356,379+ref-prs-358,382"
evaluation-comment:72->71:0:_,evaluation,comment:72->71:0:_
topic-question:73->74:0:grf-qst-392,topic,question:73->74:0:grf-qst-392
context-background:74->72:0:_,context,background:74->72:0:_
"organization-preparation:75->76:1:ref-prs-401,409+sem-lxchn-403,411;adversative-contrast:75->72:1:0:orp-and-408
",organization,"preparation:75->76:1:ref-prs-401,409+sem-lxchn-403,411;adversative-contrast:75->72:1:0:orp-and-408
"
"adversative-antithesis:76->79:1:dm-but-422
",adversative,"antithesis:76->79:1:dm-but-422
"
elaboration-attribute:77->76:0:syn-mdf-416+syn-relcl-418,elaboration,attribute:77->76:0:syn-mdf-416+syn-relcl-418
"attribution-positive:78->79:0:sem-atsrc-425+lex-indwd-426+lex-indwd-428
",attribution,"positive:78->79:0:sem-atsrc-425+lex-indwd-426+lex-indwd-428
"
"topic-question:79->80:1:lex-indwd-423+lex-indwd-429+grf-qst-435
",topic,"question:79->80:1:lex-indwd-423+lex-indwd-429+grf-qst-435
"
elaboration-additional:80->72:1:_,elaboration,additional:80->72:1:_
"restatement-repetition_m:81->80:0:ref-dem-436,441+sem-lxchn-439,444",restatement,"repetition_m:81->80:0:ref-dem-436,441+sem-lxchn-439,444"
topic-question:82->85:0:_,topic,question:82->85:0:_
"mode-means:83->84:0:_;joint-list:83->82:0:1:orp-and-448
",mode,"means:83->84:0:_;joint-list:83->82:0:1:orp-and-448
"
"joint-list_m:84->82:0:dm-and-456
",joint,"list_m:84->82:0:dm-and-456
"
"adversative-concession:85->86:0:dm-but-465
",adversative,"concession:85->86:0:dm-but-465
"
"restatement-repetition_m:86->80:0:ref-prs-436,467",restatement,"repetition_m:86->80:0:ref-prs-436,467"
organization-phatic:87->93:3:lex-indph-472-473,organization,phatic:87->93:3:lex-indph-472-473
attribution-negative:88->89:0:sem-atsrc-478+sem-ngt-480+lex-indwd-481,attribution,negative:88->89:0:sem-atsrc-478+sem-ngt-480+lex-indwd-481
attribution-positive:89->93:2:sem-atsrc-485+lex-indwd-488,attribution,positive:89->93:2:sem-atsrc-485+lex-indwd-488
"context-circumstance:90->93:1:dm-once-491+dm-once-495
",context,"circumstance:90->93:1:dm-once-491+dm-once-495
"
"restatement-repetition_m:91->90:0:ref-prs-492,496+sem-lxchn-493,497
",restatement,"repetition_m:91->90:0:ref-prs-492,496+sem-lxchn-493,497
"
