discourse_markers,discourse_type,discourse_subtype
organization-heading:1->29:3:grf-ly-,organization,heading:1->29:3:grf-ly-
"context-background:2->14:2:sem-synym-4-8,108-109",context,"background:2->14:2:sem-synym-4-8,108-109"
"restatement-partial:3->2:0:sem-synym-4-8,10+grf-prn-9,11",restatement,"partial:3->2:0:sem-synym-4-8,10+grf-prn-9,11"
same-unit_m:4->2:1:_,same,unit_m:4->2:1:_
elaboration-attribute:5->4:0:syn-mdf-19+syn-nmn-20,elaboration,attribute:5->4:0:syn-mdf-19+syn-nmn-20
"explanation-evidence:6->2:2:grf-prn-28,30,32,34",explanation,"evidence:6->2:2:grf-prn-28,30,32,34"
"attribution-positive:7->8:1:sem-atsrc-40+lex-indwd-41+syn-rpr-42
",attribution,"positive:7->8:1:sem-atsrc-40+lex-indwd-41+syn-rpr-42
"
adversative-concession:8->14:1:_,adversative,concession:8->14:1:_
adversative-concession:9->11:0:dm-despite-44,adversative,concession:9->11:0:dm-despite-44
"elaboration-attribute:10->9:0:syn-mdf-46+syn-nmn-47-48
",elaboration,"attribute:10->9:0:syn-mdf-46+syn-nmn-47-48
"
same-unit_m:11->8:0:_,same,unit_m:11->8:0:_
"explanation-evidence:12->8:2:grf-prn-65,67,69,71",explanation,"evidence:12->8:2:grf-prn-65,67,69,71"
evaluation-comment:13->8:3:lex-indwd-78;adversative-contrast:13->7:0:2:orp-however-73,evaluation,comment:13->8:3:lex-indwd-78;adversative-contrast:13->7:0:2:orp-however-73
"context-background:14->29:2:sem-rpt-108-109,212;joint-list:14->13:0:0:orp-also-92",context,"background:14->29:2:sem-rpt-108-109,212;joint-list:14->13:0:0:orp-also-92"
"explanation-justify:15->14:0:dm-in fact-111-112
",explanation,"justify:15->14:0:dm-in fact-111-112
"
"elaboration-additional:16->15:0:sem-lxchn-115,117,119+grf-prn-116,120",elaboration,"additional:16->15:0:sem-lxchn-115,117,119+grf-prn-116,120"
"same-unit_m:17->15:1:_
",same,"unit_m:17->15:1:_
"
elaboration-attribute:18->15:2:syn-mdf-125+syn-nmn-126,elaboration,attribute:18->15:2:syn-mdf-125+syn-nmn-126
"same-unit_m:19->15:3:_
",same,"unit_m:19->15:3:_
"
"joint-list_m:20->15:4:dm-and-133
",joint,"list_m:20->15:4:dm-and-133
"
"explanation-evidence:21->15:5:grf-prn-139,141",explanation,"evidence:21->15:5:grf-prn-139,141"
explanation-evidence:22->15:6:_,explanation,evidence:22->15:6:_
