discourse_subtype,count
other_m:197->8:2:_,1
question:1->2:1:lex-indwd-1+syn-sbinv-2+grf-qst-6,1
additional:3->2:0:_,1
"result:4->3:0:dm-and-19+dm-so-20
",1
comment:5->3:1:_,1
background:6->7:0:lex-indwd-36,1
"question:7->8:0:lex-indwd-40+grf-qst-45
",1
other_m:8->2:2:_,1
"other_m:9->2:3:_
",1
"repetition_m:10->9:0:sem-lxchn-51,58+sem-rpt-52-53,59-60+ref-prs-52,59
",1
comment:11->13:1:lex-indwd-68,1
positive:12->13:0:sem-atsrc-65+lex-indwd-69,1
antithesis:13->14:1:_,1
other_m:14->2:3:_,1
justify:158->160:1:_,1
positive:159->160:0:sem-atsrc-766+lex-indwd-767,1
other_m:160->8:2:_,1
phatic:161->160:2:_,1
cause:162->166:0:dm-so-784+dm-so-800,1
question:163->164:1:lex-indwd-786+grf-qst-791,1
"additional:164->162:0:ref-prs-775,792+sem-synym-780-782,795",1
"partial:165->164:0:sem-rpt-795,797-798",1
comment:150->149:1:lex-indwd-728,1
comment:151->152:1:_,1
concession:152->142:4:_,1
"partial:153->152:0:ref-prs-732,741+dm-indeed-743",1
"other_m:154->8:2:_
",1
"sequence_m:155->154:0:_
",1
"sequence_m:156->154:0:_
",1
preparation:157->158:0:_,1
"motivation:142->154:1:mrf-md-745
",1
comment:143->142:0:lex-indwd-692,1
phatic:144->145:0:_,1
goal:145->142:1:_,1
"repetition_m:146->142:2:ref-prs-683-690,702+sem-synym-685-690,704-707+sem-lxchn-688,705",1
goal:147->146:0:_,1
phatic:148->149:0:_,1
result:149->146:1:_,1
question:134->135:0:grf-qst-653,1
repetition_m:135->133:0:_,1
"comment:136->142:3:lex-indwd-656+lex-indwd-660
",1
question:137->138:0:grf-qst-666,1
comment:138->136:0:lex-indwd-669,1
"contrast_m:139->138:1:_
",1
phatic:140->139:0:lex-indwd-677,1
other_m:141->140:0:_,1
comment:72->71:0:_,1
question:73->74:0:grf-qst-392,1
background:74->72:0:_,1
"preparation:75->76:1:ref-prs-401,409+sem-lxchn-403,411;adversative-contrast:75->72:1:0:orp-and-408
",1
"antithesis:76->79:1:dm-but-422
",1
attribute:77->76:0:syn-mdf-416+syn-relcl-418,1
"positive:78->79:0:sem-atsrc-425+lex-indwd-426+lex-indwd-428
",1
"question:79->80:1:lex-indwd-423+lex-indwd-429+grf-qst-435
",1
antithesis:64->63:1:_,1
positive:65->66:0:sem-atsrc-344+lex-indwd-345,1
"comment:66->64:0:_
",1
"partial:67->53:2:sem-rpt-287-289,352-354+sem-rpt-287-288,352-353",1
positive:68->69:0:sem-atsrc-356+lex-indwd-357,1
"background:69->67:0:sem-rpt-352-353,358",1
"contrast_m:70->69:1:dm-but-365
",1
"background:71->69:2:ref-prs-356,379+ref-prs-358,382",1
phatic:56->55:0:lex-indwd-303,1
"repetition_m:57->55:1:ref-prs-299,305+sem-lxchn-300,307+ref-prs-301,308",1
phatic:58->57:0:_,1
other_m:59->54:0:_,1
comment:60->53:1:lex-indwd-320,1
"goal:61->60:0:syn-inf-326
",1
concession:62->63:0:_,1
"contrast_m:63->60:1:dm-but-333
",1
"positive:48->49:1:sem-atsrc-255+lex-indwd-256
",1
"sequence_m:49->41:2:dm-and-254
",1
other_m:50->49:0:_,1
"comment:51->49:2:lex-indwd-273
",1
"justify:52->51:0:dm-cause-275
",1
"other_m:53->34:2:_
",1
motivation:54->53:0:mrf-md-285,1
other_m:55->54:0:_,1
comment:104->103:0:_,1
list_m:105->94:1:_,1
phatic:106->105:2:_,1
cause:107->108:0:_,1
comment:108->109:1:_,1
other_m:109->2:3:_,1
justify:110->109:0:_,1
evidence:111->110:0:_,1
"repetition_m:96->95:0:sem-lxchn-515,522
",1
comment:97->95:1:_,1
"additional:98->97:0:sem-rpt-528-529,532",1
comment:99->95:2:_;adversative-contrast:99->97:0:1:orp-though-543,1
phatic:100->99:0:lex-indwd-545,1
"cause:101->99:1:_
",1
"question:102->105:1:lex-indwd-550+grf-qst-556
",1
"background:103->105:0:ref-prs-560,573",1
negative:88->89:0:sem-atsrc-478+sem-ngt-480+lex-indwd-481,1
positive:89->93:2:sem-atsrc-485+lex-indwd-488,1
"circumstance:90->93:1:dm-once-491+dm-once-495
",1
"repetition_m:91->90:0:ref-prs-492,496+sem-lxchn-493,497
",1
"preparation:92->93:0:_
",1
antithesis:93->72:2:_,1
other_m:94->2:3:_,1
"contrast_m:95->94:0:_
",1
additional:80->72:1:_,1
"repetition_m:81->80:0:ref-dem-436,441+sem-lxchn-439,444",1
question:82->85:0:_,1
"means:83->84:0:_;joint-list:83->82:0:1:orp-and-448
",1
"list_m:84->82:0:dm-and-456
",1
"concession:85->86:0:dm-but-465
",1
"repetition_m:86->80:0:ref-prs-436,467",1
phatic:87->93:3:lex-indph-472-473,1
positive:136->138:1:sem-atsrc-755+lex-indwd-756+syn-rpr-757,1
"condition:137->138:0:dm-if-757+mrf-md-763
",1
evidence:138->109:4:_,1
solutionhood:139->144:3:_,1
attribute:140->139:0:syn-mdf-769+syn-relcl-771,1
"unit_m:141->139:1:_
",1
"goal:142->139:2:dm-so-775
",1
"additional:143->142:0:sem-mrnym-779-780,784
",1
attribute:128->127:0:syn-mdf-704+syn-relcl-707,1
"antithesis:129->124:4:_
",1
"background:130->134:1:ref-prs-720,744",1
comment:131->130:0:lex-indwd-728,1
list_m:132->130:1:_,1
"background:133->132:0:ref-prs-730-731,739+ref-prs-730,737",1
"background:134->138:2:ref-prs-737,755+sem-rpt-752-753,766-767",1
"attribute:135->134:0:syn-mdf-749+syn-inf-750
",1
"justify:120->124:3:_
",1
"positive:121->122:0:sem-atsrc-660+lex-indwd-666
",1
goal:122->120:0:syn-inf-665,1
negative:123->124:1:sem-atsrc-675+sem-ngt-677+lex-indwd-678+syn-rpr-693,1
"comment:124->115:2:_
",1
"positive:125->126:0:sem-atsrc-684+lex-indwd-691
",1
"goal:126->124:0:syn-inf-690
",1
justify:127->124:2:_,1
"sequence_m:112->111:0:dm-and-614
",1
"list_m:113->111:1:dm-and-618
",1
"comment:114->109:2:lex-indwd-630
",1
other_m:115->109:3:_,1
"condition:116->117:0:dm-if-634
",1
unit_m:117->115:0:_,1
"additional:118->115:1:ref-prs-635,648+sem-synym-644,647",1
sequence_m:119->118:0:lex-indwd-651,1
positive:168->169:0:sem-atsrc-898+lex-indwd-900,1
other_m:169->2:3:_,1
positive:170->171:1:sem-atsrc-909+lex-indwd-910,1
"preparation:171->174:2:ref-prs-911,919",1
"repetition_m:172->171:0:sem-rpt-911,914-915",1
"preparation:173->174:1:_
",1
"comment:174->169:3:_
",1
"attribute:175->174:0:syn-mdf-925+syn-inf-926
",1
concession:160->161:0:dm-but-867,1
"additional:161->159:0:sem-rpt-855,859+ref-prs-857,861
",1
result:162->161:1:_,1
other_m:163->2:3:_,1
comment:164->163:0:_,1
"repetition_m:165->163:1:ref-prs-878,887+sem-lxchn-879,888",1
"preparation:166->169:2:_
",1
"condition:167->169:1:dm-if-891+mrf-md-899
",1
"concession:152->154:1:dm-but-823
",1
preparation:153->154:0:_,1
contrast_m:154->151:1:_,1
comment:155->154:2:_,1
"antithesis:156->144:2:_;joint-list:156->152:1:3:orp-and-840
",1
phatic:157->156:0:lex-indwd-848,1
"question:158->159:1:lex-indwd-850+grf-qst-854
",1
other_m:159->2:3:_,1
other_m:144->2:3:_,1
repetition_m:145->144:0:_,1
question:146->151:0:lex-indwd-791+grf-qst-792,1
justify:147->146:0:_,1
list_m:148->147:0:_,1
list_m:149->147:0:_,1
list_m:150->147:0:_,1
justify:151->144:1:_,1
"list_m:200->198:0:_
",1
"repetition_m:201->200:0:ref-prs-1062,1067+sem-synym-1064,1069-1071
",1
"positive:202->204:1:sem-atsrc-1074+lex-indwd-1075+syn-rpr-1077-1078,1080-1086",1
positive:203->204:0:sem-atsrc-1077+lex-indwd-1079,1
background:204->220:4:_,1
phatic:205->204:4:_,1
repetition_m:206->205:0:_,1
"partial:207->204:5:sem-synym-1080,1092-1093",1
question:192->196:0:grf-qst-1017,1
"list_m:193->192:0:_
",1
justify:194->192:1:_,1
"repetition_m:195->194:0:ref-prs-1023,1028",1
"additional:196->191:0:ref-prs-1014,1033",1
phatic:197->196:1:lex-indwd-1042+lex-indwd-1044,1
"question:198->204:2:grf-qst-1054
",1
"list_m:199->198:0:_
",1
"question:184->185:2:syn-sbinv-972+grf-qst-977
",1
other_m:185->2:3:_,1
phatic:186->185:0:lex-indwd-985,1
"additional:187->185:1:sem-mrnym-980,989-990",1
"additional:188->187:0:ref-prs-989-990,992",1
"question:189->190:0:syn-sbinv-997+grf-qst-1009
",1
"question:190->191:1:lex-indwd-1011+grf-qst-1013
",1
"background:191->204:3:ref-prs-1014,1080",1
justify:176->174:3:_,1
evidence:177->176:0:_,1
other_m:178->2:3:_,1
comment:179->178:0:lex-indwd-946,1
other_m:180->2:3:_,1
"other_m:181->2:3:_
",1
"circumstance:182->181:0:dm-when-961
",1
other_m:183->2:3:_,1
additional:232->220:2:_,1
"sequence_m:233->232:0:dm-and-1229
",1
"sequence_m:234->232:0:dm-and-1236+dm-then-1237
",1
manner:235->234:0:_,1
preparation:1->2:0:_,1
"question:2->4:1:syn-sbinv-5+grf-qst-13
",1
antithesis:3->4:0:_,1
question:4->5:0:grf-qst-17,1
manner:224->223:1:_,1
"other_m:225->220:1:_
",1
phatic:226->225:0:lex-indwd-1190,1
"antithesis:227->228:1:_
",1
"manner:228->225:1:_
",1
"attribute:229->228:0:syn-mdf-1200+syn-inf-1202
",1
phatic:230->225:2:lex-indwd-1208,1
"question:231->232:1:syn-sbinv-1213+grf-qst-1221
",1
"comment:216->214:2:_
",1
phatic:217->218:1:lex-indph-1141-1142,1
"additional:218->216:1:ref-prs-1138,1141+lex-indwd-1150",1
attribute:219->218:0:syn-mdf-1146+syn-relcl-1148,1
other_m:220->2:3:_,1
antithesis:221->223:2:_,1
means:222->223:0:_,1
"additional:223->220:0:ref-prs-1154,1176+sem-lxchn-1161,1175",1
"preparation:208->210:0:ref-prs-1099,1107",1
"list_m:209->208:0:_
",1
"question:210->214:1:dm-so-1104+lex-indwd-1105+syn-sbinv-1106+grf-qst-1110
",1
preparation:211->214:0:_,1
"question:212->213:0:syn-sbinv-1122
",1
additional:213->211:0:_,1
background:214->220:3:_,1
phatic:215->216:0:_,1
phatic:30->34:4:lex-indwd-109,1
comment:31->34:3:_,1
"question:32->34:2:lex-indwd-113
",1
phatic:33->34:1:lex-indwd-118,1
other_m:34->8:2:_,1
"concession:35->34:0:dm-but-125
",1
comment:36->34:5:_,1
"repetition_m:37->36:0:sem-rpt-132-133,136-137+ref-prs-132,136",1
other_m:22->8:2:_,1
repetition_m:23->22:0:_,1
additional:24->22:1:_,1
phatic:25->26:0:lex-indwd-91,1
comment:26->24:0:lex-indwd-95,1
"antithesis:27->26:1:_
",1
comment:28->27:0:lex-indwd-103,1
"repetition_m:29->28:0:sem-rpt-103-104,106-107",1
question:14->15:1:grf-qst-63,1
comment:15->11:2:_,1
repetition_m:16->15:0:_,1
preparation:17->18:0:_,1
additional:18->15:2:_,1
partial:19->15:3:_,1
question:20->22:2:grf-qst-80,1
"repetition_m:21->20:0:ref-dem-77,82
",1
"solutionhood:5->6:1:_
",1
question:6->8:0:grf-qst-32,1
list_m:7->6:0:_,1
comment:9->8:1:lex-indwd-42,1
"question:10->11:0:lex-indwd-44+syn-sbinv-45+grf-qst-50
",1
"other_m:11->8:2:_
",1
phatic:12->11:1:lex-indwd-57,1
"repetition_m:13->12:0:_
",1
"comment:62->60:2:_
",1
"repetition_m:63->62:0:sem-lxchn-309,316+sem-lxchn-310,317+sem-lxchn-312,318
",1
other_m:64->8:2:_,1
question:65->66:1:grf-qst-333,1
comment:66->64:0:_,1
repetition_m:67->66:0:_,1
question:68->72:2:grf-qst-343,1
attribute:69->68:0:syn-mdf-340+syn-relcl-342,1
"question:54->58:1:grf-qst-254
",1
cause:55->56:0:_,1
concession:56->58:0:dm-though-283,1
phatic:57->56:1:lex-indwd-273,1
other_m:58->8:2:_,1
"question:59->60:1:grf-qst-292
",1
additional:60->58:2:_,1
"repetition_m:61->60:0:ref-dem-295,301+sem-lxchn-299,305",1
other_m:46->44:1:_,1
"comment:47->48:0:lex-indwd-215
",1
other_m:48->8:2:_,1
comment:49->48:1:lex-indwd-228,1
"other_m:50->8:2:_
",1
comment:51->50:0:lex-indwd-233,1
"question:52->54:0:lex-indwd-235+syn-sbinv-237+grf-qst-241
",1
antithesis:53->52:0:_,1
"cause:38->39:0:dm-because-144+dm-so-152
",1
"cause:39->48:3:_
",1
"comment:40->39:1:_
",1
"question:41->42:0:syn-sbinv-167+grf-qst-172
",1
cause:42->43:0:dm-so-180,1
"repetition_m:43->39:2:ref-prs-145-146,182+ref-prs-153,177+sem-lxchn-155,158,184+sem-rpt-160,191",1
background:44->48:2:_,1
"phatic:45->44:0:_;causal-result:45->44:0:0:orp-so-207
",1
"circumstance:94->96:1:dm-when-462
",1
phatic:95->96:0:_,1
"background:96->89:4:ref-prs-435,464",1
background:97->99:2:_,1
question:98->99:1:syn-sbinv-495+grf-qst-499,1
other_m:99->8:2:_,1
"repetition_m:100->99:0:_
",1
antithesis:101->99:3:_,1
"result:86->81:2:dm-so so-413,417",1
repetition_m:87->86:1:_,1
"question:88->89:2:lex-indwd-428+grf-qst-434
",1
other_m:89->8:2:lex-indwd-441,1
phatic:90->89:0:lex-indph-446-447,1
"repetition_m:91->89:1:ref-dem-435,449",1
"phatic:92->89:3:lex-indwd-457+lex-indwd-458
",1
"phatic:93->96:2:lex-indwd-460
",1
"question:78->79:1:grf-qst-392
",1
cause:79->81:0:_,1
"repetition_m:80->79:0:_
",1
"other_m:81->8:2:_
",1
comment:82->81:1:lex-indwd-408,1
"repetition_m:83->82:0:_
",1
"preparation:84->86:2:ref-prs-414,418
",1
"preparation:85->86:0:_
",1
other_m:70->68:1:_,1
phatic:71->70:0:_,1
"background:72->75:0:ref-prs-351,376
",1
attribute:73->72:0:syn-mdf-359+syn-relcl-361,1
"sequence_m:74->72:1:dm-and-363+dm-then-364
",1
"question:75->76:0:syn-sbinv-375+grf-qst-383
",1
other_m:76->8:2:_,1
phatic:77->78:0:_,1
"additional:126->122:1:ref-prs-605,613",1
"circumstance:127->126:0:_;elaboration-attribute:127->126:0:0:syn-mdf-620+syn-relcl-623
",1
unit_m:128->126:1:_,1
phatic:129->126:4:lex-indwd-634,1
repetition_m:130->129:0:_,1
background:131->132:0:_,1
evidence:132->126:5:_,1
phatic:133->132:1:lex-indwd-649,1
background:118->119:0:_,1
other_m:119->8:2:_,1
"comment:120->119:2:lex-indwd-592
",1
"preparation:121->122:0:ref-prs-598,605
",1
other_m:122->8:2:_,1
positive:123->124:0:sem-atsrc-610+lex-indwd-611,1
"preparation:124->126:3:ref-prs-613,616
",1
positive:125->126:2:sem-atsrc-616+lex-indwd-617+syn-rpr-621,1
comment:110->108:1:_,1
phatic:111->110:0:_,1
"background:112->113:1:_
",1
other_m:113->8:2:_,1
repetition_m:114->113:0:_,1
"comment:115->119:1:lex-indwd-578
",1
repetition_m:116->115:0:_,1
"question:117->118:0:lex-indwd-582+grf-qst-586
",1
"additional:102->101:0:ref-prs-507-508,511",1
"question:103->104:0:syn-sbinv-514+grf-qst-521
",1
antithesis:104->107:1:_,1
background:105->107:0:_,1
"repetition_m:106->105:0:sem-rpt-527,533",1
antithesis:107->108:2:_,1
"background:108->112:0:ref-prs-540,566+ref-prs-544,569",1
"cause:109->108:0:dm-because-548
",1
contrast_m:190->189:0:_,1
other_m:191->8:2:_,1
"repetition_m:192->191:0:sem-synym-907-918,920-922",1
"other_m:193->8:2:_
",1
comment:194->193:0:_,1
"repetition_m:195->194:0:sem-synym-931,934-935",1
phatic:196->197:0:lex-indwd-939,1
"sequence_m:15->14:0:dm-and-80
",1
other_m:182->8:2:_,1
"comment:183->182:1:_
",1
repetition_m:184->183:0:_,1
repetition_m:185->184:0:_,1
"repetition_m:186->184:0:_
",1
"repetition_m:187->183:0:_
",1
"preparation:188->191:2:_
",1
antithesis:189->191:1:_,1
"means:174->173:0:_
",1
sequence_m:175->174:0:_,1
comment:176->173:2:_,1
"repetition_m:177->176:0:_
",1
phatic:178->180:0:lex-indwd-862,1
repetition_m:179->178:0:_,1
result:180->173:3:_,1
"cause:181->182:0:_
",1
"background:166->168:2:_
",1
"phatic:167->168:0:_
",1
"question:168->171:1:syn-sbinv-809,816+grf-qst-821
",1
comment:169->168:1:_,1
condition:170->171:0:lex-indph-828-829,1
other_m:171->8:2:_,1
